agency,role,PL,CL,Life,score,NPS,is_easy,comments,category
3401948,Customer Service Representative (CSR),Personal Lines,,,8,Neutral,Neither Agree nor Disagree,Not a good fit for a large number of my clients but will definitely offer to those that are a good fit.,
3402073,Producer,Personal Lines,,Life,10,Promoter,Strongly Agree,Coverages are not as good as some of our other carriers- Guaranteed replacement cost coverage.,
48662,Principal,Personal Lines,,,10,Promoter,Strongly Agree,"good rates, claims and web site",
1301643,Producer,Personal Lines,,,8,Detractor,Neither Agree nor Disagree,Pricing is just too high to be consistently competitive.,
20,Other,Personal Lines,,,10,Promoter,Agree,The website is easily accessible and the underwriters and billing specialists are always helpful.,Positive
4959,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,Easy to quote.,Positive
4661,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"good rates, easy to use quoting system and guidelines.  the new links they added when quoting for viewing policy forms is so helpful.",
1001618,Principal,Personal Lines,,Life,9,Promoter,Agree,,
3701042,Producer,Personal Lines,,,5,Neutral,Agree,...,
3133,Producer,,Commercial Lines,Life,10,Promoter,Strongly Agree,"Grange's online systems are very user friendly and I am able to generate a quote for a prospect quickly and accurately.  My underwriter Keith and territory sales manager David are the best resources whenever I have questions or need to talk through an account with them, they are both so prompt with their response times and very knowledgeable!!",
3401051,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Rates are competitive and fairly easy to quote.,
3401475,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,10,Promoter,Agree,"very user friendly system, but I wish there was more flexibility in the guidelines.",Service
14500,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,Integrity has a great policies and they respond to our issues quickly,
3427,Producer,Personal Lines,,,10,Promoter,Strongly Agree,Rating system is easy to use and our Underwriter Maar is very helpful when issues arise.,
3223,Principal,Personal Lines,,,0,Detractor,Strongly Disagree,NEXT WEEK THEY'LL HAVE A NEW PROGRAM AND IT WILL BE LIKE STARTING ALL OVER AGAIN,
1301642,Principal,Personal Lines,,,9,Promoter,Strongly Agree,the system is easy and flows good. The people who represent Grange a pleasant and very helpful,
1301211,Principal,Personal Lines,,,8,Neutral,Agree,Grange has been a great carrier for us.  The ability to customize a policy is extremely helpful.,Positive
1058,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,"Primarily due to responsive claim service.  Underwriter is helpful and wants to help us issue business.  Unfortunately, we could do much better if rates were slightly more competitive.",Pricing
6716,Customer Service Representative (CSR),,Commercial Lines,,7,Detractor,Somewhat Disagree,The quoting system is simple but if I need help from an underwriter it isn't easy.  I never know if the u/w'er gets my message and there are lots of times i have to follow-up on my requests.,
1301034,Principal,Personal Lines,Commercial Lines,Life,8,Promoter,Agree,Easy to rate good communication,Positive
48290,Producer,,Commercial Lines,,5,Detractor,Agree,"Strong company, I wish the programs were clearer to their target markets.  And rates were more competitive in NW WI.",Positive
48638,Principal,Personal Lines,,,8,Promoter,Strongly Agree,"Integrity is very easy to work with.  Claims are handled quickly, i love my underwriter!!  Its all good.",
4752,Producer,,,Life,8,Neutral,Agree,,
3402044,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Somewhat Agree,Quoting & endorsing systems have been improved,
1301122,Customer Service Representative (CSR),Personal Lines,,,9,Detractor,Neither Agree nor Disagree,"Overall, Grange is an ""okay"" carrier.  Rates are not really competitive so we don't see a whole lot of new business being placed here.  I will say that renewals are typically hard to beat so existing business usually remains. Additionally, had a few claims issues on current/former clients. Renewal processes are often slow and not received within 30 days of expiration.",
3041,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Agree,"Rating has been very high on quoting, until the recent new products.  Underwriting needs a bit of work on communication & getting back to our Agency on a timely fashion",Pricing
1189,Customer Service Representative (CSR),Personal Lines,,,7,Promoter,Strongly Agree,Underwriter will try to work with us Agents in terms of education and guidance.,
4501076,Principal,Personal Lines,Commercial Lines,Life,10,Detractor,Strongly Agree,I recommend Grange a lot of my clients when it fits both parties.,
3029,Customer Service Representative (CSR),Personal Lines,,,10,Neutral,Somewhat Agree,,
48186,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,Integrity is overall a good company to place business. Underwriting is extremely helpful,Positive
21129,Producer,Personal Lines,,,1,Detractor,Strongly Disagree,claims never return phone calls look at hp0002102568 adjusters & supervisors don't return calls,
3097,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Agree,,
3401089,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"The Grange website is very easy to use (one of the easiest on the market), which allows me to quote easily and quickly. Also, i'm with Grange myself, and due to my past experiences and longevity with you all, I always throw you in when I quote.",
4501502,Customer Service Representative (CSR),Personal Lines,,,4,Detractor,Neither Agree nor Disagree,"Grange tends to rate high. It is rare that Grange makes it to the top 3 of my choice on the PL Rater, not even when I bridge over does it make a huge difference in premium. Often times it increases.   What I would like for Grange to do is, with our existing clients if they can be rewritten with Grange and get lower premiums this should rewrite should be done automatically within the Grange system, instead of the agency having to do the remarketing.  If we do it on our end chances are we will move it a different carrier.",
3401473,Producer,Personal Lines,,,10,Promoter,Strongly Agree,,
6072,Principal,Personal Lines,Commercial Lines,,9,Neutral,Somewhat Agree,"the underwriting guidelines while also using the rates   have made it difficult to write  what  is the average account, grange is only wanting the best preferred  business but not using the rates to obtain this business",
3427,Producer,Personal Lines,,,9,Neutral,Somewhat Agree,"overall website is user friendly, and for the most part underwriting is resonable.",
3132,Producer,Personal Lines,,Life,10,Promoter,Strongly Agree,always able to contact someone whether it be billing underwriting....whoever!,
22404,Principal,Personal Lines,,,9,Promoter,Agree,Rating & issuing policy is fast & easy.  They provide great claims service.,Positive
4483,Principal,Personal Lines,,Life,4,Neutral,Somewhat Agree,,
1002,Producer,,Commercial Lines,,7,Neutral,Somewhat Agree,Because that's what I thought was applicable.,
3837,Principal,Personal Lines,,Life,7,Neutral,Somewhat Disagree,Grange has not been price competitive for several years.,
3401779,Principal,Personal Lines,Commercial Lines,,9,Promoter,Agree,Underwriting is responsive and helpful.,Positive
3401608,Producer,Personal Lines,,,9,Promoter,Strongly Agree,Very ease  to quote and get docs,
77,Other,,Commercial Lines,,0,Detractor,Strongly Disagree,I have not been able to get anything out of Grange for at least the last year.,
4101271,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,Grange is easy to work with.,Positive
4748,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,website is great,
4562,Other,Personal Lines,Commercial Lines,,9,Neutral,Agree,Pricing and appetite have been a little volatile over the last few years but your easy of doing business is very good.,Pricing
4115,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,,
4941,Principal,Personal Lines,,,10,Promoter,Strongly Agree,"Flexible products, stable pricing, excellent claim service, easy for me to do business with you.",
14764,Producer,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,,
4101167,Producer,,Commercial Lines,,8,Promoter,Agree,The underwriters and tech folks seem to try to be helpful to us when we call needing help.,Positive
4428,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"Training programs, user-friendly website- underwriters extremely polite, prompt and very courteous and clear and concise and personable. and very knowledgeable.",
2101569,Producer,Personal Lines,,,10,Detractor,Somewhat Disagree,The homeowners and auto rates for our area are not the best.  Everything else about the company is great.,
1264,Customer Service Representative (CSR),Personal Lines,,,7,Neutral,Agree,I didn't go higher on recommending as I feel like your rates have been a little higher than other carriers lately.  While I have been a client for a number of years I feel like your web site is very user friendly.,Pricing
3592,Producer,Personal Lines,,,7,Neutral,Somewhat Agree,The quoting process has become more cumbersome.  It used to be easy.,
3901401,Customer Service Representative (CSR),Personal Lines,,,6,Neutral,Somewhat Disagree,I have found that rates are a little higher than Travelers and Safeco in most cases.  I always seem to have hiccups with issuing new business and trouble getting fast assistance from Grange.  I do quote Grange from time to time to see if you are back in the game.,
4101312,Producer,Personal Lines,,Life,4,Neutral,Agree,,
3401411,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Most competitive carrier in my agency and easiest operating sytem--GainWeb,
3401822,Customer Service Representative (CSR),,Commercial Lines,,7,Neutral,Agree,Grange's system is user friendly and if the coverage is what the client needs we would recommend.,Positive
1001246,Producer,Personal Lines,,,10,Promoter,Agree,"I have had no problem with Grange at all.  We quote with Grange in the PL Rater and if they are the best price, I give it to my client.",Positive
45066,Principal,Personal Lines,,,7,Detractor,Somewhat Agree,"When we look at other agencies and companies we like to compare about the insurers we use the most and fit with our people. We use some of the national insurers, as well as the local. Our personal lines portion of our book fits nicely with Grange but we need some reasons for a book of business that will provide perks such as larger book of business in our area of expertise.",
6248,Customer Service Representative (CSR),Personal Lines,,,7,Detractor,Agree,Rates are not as competitive as preferred.,Positive
3402025,Customer Service Representative (CSR),Personal Lines,,,6,Neutral,Somewhat Disagree,"We have clients that want us to be their agent and you will only allow that 35 days prior to the renewal.  There is no way that a client can know that deadline.  So, for six months or a year, they must remain with an agent they're unhappy with.  Our only alternative is to move them away from you.",
14013,Producer,Personal Lines,Commercial Lines,,8,Neutral,Agree,I've found the website user friendly. Servicing policies online is a plus.  Claim service has been good. Premiums are competitive in some lines of business but not all.,Positive
22088,Producer,Personal Lines,,,9,Neutral,Agree,"I personally have never written a policy with Integrity (i'm a newbie!) but I've heard a few different times that Integrity is great to work with in regards to claims, and things being covered",Positive
1001189,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,As a new agent this was my first time writing with Grange. It went fairly smoothly. Thanks!,
3701434,Producer,Personal Lines,Commercial Lines,Life,8,Neutral,Agree,writing business is easy however at times the follow up time frame given by the underwriters can be challenging.,Positive
2101676,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Agree,"Grange is always easy to work with except on some commercial business. They have always take good care of the clients. The rates are not as competitive as some other companies, but we quote them regardless.",Pricing
22632,Principal,Personal Lines,,,4,Detractor,Strongly Agree,Customer service personnel are great.  Rates and ease of use of the computer is not the easiest.,
48234,Customer Service Representative (CSR),,Commercial Lines,,5,Promoter,Agree,Good website,Positive
1301822,Producer,Personal Lines,,,8,Neutral,Neither Agree nor Disagree,Grange has not been competitive in the area I am writing most my business,
3401342,Customer Service Representative (CSR),Personal Lines,,,10,Neutral,Somewhat Agree,"Your technology is wonderful.  Easy to quote.  Sometimes very difficult to reach a human being, underwriters not readily available on first call.",
3701420,Principal,Personal Lines,Commercial Lines,,9,Neutral,Agree,"Clients who call after hours are always complaining about the customer service from Grange how they can never get help for simple questions or transactions, ie, seeing if they have specific coverages or adding vehicles/coverage.",Positive
48798,Producer,Personal Lines,,,8,Promoter,Agree,integrity is very easy to use,Positive
183,Other,Personal Lines,Commercial Lines,,4,Detractor,Somewhat Agree,"Grange is a good carrier coverage wise, your website is difficult to navigate.",
4046,Other,Personal Lines,,,10,Promoter,Agree,Because the products are very competitive with other carriers that we have and the website is user-friendly.,Positive
2101503,Principal,,Commercial Lines,,9,Neutral,Agree,"If PL rates were better, we'd definitely sell a ton more.  CL is good for ease of doing business",Positive
4243,Producer,Personal Lines,,Life,10,Promoter,Strongly Agree,besides being an agent I have Grange for my personal and commercial insurance. Great customer service and great claims service.,
4412,Producer,Personal Lines,,,10,Promoter,Strongly Agree,"Website is very user friendly, and underwriters are nice to work with.",
3701457,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,Grange has good rates and customer service is good.,
4501325,Producer,Personal Lines,,,10,Promoter,Strongly Agree,System is very easy to navigate and use as a quoting tool.,
48203,Principal,Personal Lines,Commercial Lines,,9,Detractor,Agree,Rating systems are easy to use.,Positive
48003,Producer,Personal Lines,,,9,Neutral,Somewhat Agree,Not 100% pleased with auto claims and the valuation of auto's at time of loss.,
6114,Other,Personal Lines,,,9,Detractor,Agree,"policies are easy to rate, but rates are too high to sell.",Positive
22361,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Integrity system is easy to use and the underwriter is very nice to work with.,
3901113,Principal,,,Life,8,Promoter,Agree,,
48395,Customer Service Representative (CSR),Personal Lines,,,6,Promoter,Somewhat Agree,I find the website a bit difficult to navigate,
1301188,Other,Personal Lines,,,9,Promoter,Strongly Agree,the staff is always willing to work with you if at all possible to sell the product or amend it if possible to meet the clients needs.,
48171,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,System is very easy to quote & do endorsements. Underwriters & assistants are very helpful.,
3402047,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,great rates easy to quote,Positive
48102,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,Integrity has great coverages included in their products.  The website is easy to use.,Positive
4713,Producer,Personal Lines,,,9,Promoter,Somewhat Disagree,Under writers have no leeway.,
3401905,Customer Service Representative (CSR),Personal Lines,,,7,Promoter,Somewhat Agree,I feel like I have to call the underwriter to many times for silly things,
4748,Principal,Personal Lines,,,9,Promoter,Agree,Underwriters and adjusters are responsive.,Positive
21312,Customer Service Representative (CSR),Personal Lines,,,6,Detractor,Neither Agree nor Disagree,"The rates with Grange are so much higher than any of other companies we write for.  Underwriting use to be very easy to work with, but now they are hard to contact & do not seem to want to work along with us.",
3401714,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,Grange has excellent coverages with competitive pricing,Positive
4661,Producer,Personal Lines,,,7,Promoter,Agree,response for quotes is rapid,Positive
48043,Producer,Personal Lines,,,10,Promoter,Strongly Agree,I was able to complete the process online with no issues.,
6114,Producer,Personal Lines,,,8,Neutral,Agree,Grange continues to be at the top for ease of doing business,Positive
1601506,Producer,Personal Lines,,,5,Detractor,Neither Agree nor Disagree,n,
3701017,Principal,Personal Lines,,,5,Neutral,Somewhat Agree,"Pricing is not consistent and while the people are great, the systems do not always make it easy to do business",
3401371,Principal,Personal Lines,Commercial Lines,Life,8,Promoter,Agree,,
4272,Principal,Personal Lines,Commercial Lines,Life,8,Neutral,Somewhat Agree,,
2217,Other,,Commercial Lines,,9,Promoter,Agree,"Because it's true. Grange is a solid, and long standing company. Their staff does it's best to make writing and keeping business with Grange their business.",Positive
2040,Producer,Personal Lines,,,10,Neutral,Agree,"I try to give most of our business to Grange.  If the new rates are more competitive, I will be sending more to Grange again instead of Progressive.",Positive
22001,Producer,,Commercial Lines,,7,Neutral,Agree,,
22188,Principal,,Commercial Lines,,9,Promoter,Strongly Agree,Easy quoting system - straight forward no issues. You seem to offer comprehensive coverages.,
1601290,Principal,Personal Lines,Commercial Lines,,8,Neutral,Somewhat Agree,"Sometimes it's hard to get up with an underwriter. The chat online is nonexistent with commercial. Everything always seems black or white, there's never any gray area on UW issues. Zero flexibility.",
3311,Other,Personal Lines,,,10,Promoter,Strongly Agree,Always happy with Grange customer service,
4702,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,easy system to maneuver great people incl underwriters and billing reps to deal with and great claim service,
4748,Customer Service Representative (CSR),,Commercial Lines,,9,Neutral,Agree,,
4152,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Strongly Agree,premium stability is what I'm most concerned about for renewals and if violations or accidents were to hit. Grange is very easy to work with though,
22019,Producer,Personal Lines,,,7,Neutral,Agree,rating is fairly easy and the underwriters are good to work with,Positive
6474,Principal,Personal Lines,Commercial Lines,Life,8,Promoter,Agree,fast claims,Positive
4941,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,,
6215,Other,,Commercial Lines,,5,Neutral,Neither Agree nor Disagree,I pay the bills and do commission therefore I don't do any quoting.,
3401933,Producer,Personal Lines,,,9,Promoter,Strongly Agree,"system easy to use, billing & u/w always quick to respond. Claims department great too",
21307,Customer Service Representative (CSR),Personal Lines,,,9,Detractor,Strongly Disagree,"Premiums are not competitive at all. I used to love placing business with Grange because the website is very user friendly. But for years we have been told a new, more competitive product would be unveiled and it never happens.",
22441,Producer,Personal Lines,,,10,Promoter,Somewhat Agree,Navigate with the system it is a little bit difficult...,
39022,Customer Service Representative (CSR),Personal Lines,,,7,Detractor,Somewhat Agree,"somethings are more difficult, payment issues can be frustrating, it's hard to get help from Underwriting",
21061,Other,Personal Lines,,,8,Detractor,Disagree,Premiums are not even close to being competitive and our underwriter is difficult to work with in those rare instances where they are competitive,
1301143,Customer Service Representative (CSR),,Commercial Lines,,5,Detractor,Neither Agree nor Disagree,I only have one account currently with Grange.  I don't have a lot of business with grange and don't feel I have a great relationship with the underwriter or understanding of the appetite at this point.,
4450,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,,
2148,Principal,Personal Lines,Commercial Lines,,8,Promoter,Somewhat Disagree,"Grange has been a great carrier for us in the past. Today...rates in personal lines are the highest in the agency and as a result , we continue to lose business. recently, claims have also been an issue. Finally, we have no advocate. no field rep or calls from anyone representing Grange. We loved the Grange of old....what has happened?",
3401280,Producer,Personal Lines,Commercial Lines,Life,8,Promoter,Agree,"Overall, you are easy to do business with, but not on every level.",Positive
22001,Other,,Commercial Lines,,6,Neutral,Somewhat Agree,"Our new business production underwriter makes doing business with Integrity a pleasure.  Very helpful with a positive, yet realistic attitude.",
48135,Principal,Personal Lines,,,8,Promoter,Agree,Great Underwriters!,Positive
1301281,Customer Service Representative (CSR),Personal Lines,,,5,Neutral,Somewhat Agree,Rates are currently on the high side.,
4397,Principal,Personal Lines,,Life,10,Promoter,Strongly Agree,Grange is the easiest company to do business with period.,
22317,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,I like working with Integrity. Anne Hemann and Tabatha Wolf are great to work with. They respond quickly and are very helpful. I like Integrities website and it's ease of use.,
4168,Principal,Personal Lines,,,10,Promoter,Strongly Agree,all the help we need is close at hand on the internet or a simple phone call for help,
1301211,Producer,Personal Lines,,,8,Neutral,Agree,,
21229,Producer,Personal Lines,,,9,Neutral,Neither Agree nor Disagree,Grange life has been fantastic.  The website is easy to use and quote.  Personal lines are almost non-existent in Michigan.  I would love to have you back Grange.,
1301822,Principal,Personal Lines,,Life,10,Promoter,Strongly Agree,"New partnership, but I have been nothing but impressed with the ease of sales, especially with life insurance",
1201560,Principal,Personal Lines,Commercial Lines,,7,Neutral,Agree,top notch,Positive
14538,Producer,Personal Lines,Commercial Lines,,9,Neutral,Agree,The product is great but the pricing is still not competitive on the personal lines.,Positive
28,Other,,Commercial Lines,,10,Promoter,Strongly Agree,The online system is quick and easy to use.,
3401001,Producer,Personal Lines,,,9,Promoter,Agree,na,Positive
1301082,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,Grange is a great company.  They're always very helpful when I call or email.,Positive
21254,Principal,,Commercial Lines,,10,Promoter,Strongly Agree,"great website set up: quoting, reports, etc. Easy to rate! Rates could be better in Michigan.",
4187,Producer,Personal Lines,,,8,Promoter,Agree,Grange is a great company ~ with good Claims service.  EODB ~ We are not completely satisfied with the EODB,Positive
4523,Producer,Personal Lines,,,10,Promoter,Agree,My family has been selling Grange Insurance since 1948,Positive
580,Principal,Personal Lines,Commercial Lines,,7,Neutral,Somewhat Agree,Grange is starting to be a viable commercial and farm market in our agency. Personal lines rates are still a problem,
3701194,Producer,,Commercial Lines,,9,Detractor,Agree,"I love working with Grange. However, I just went through an experience that I cannot add an additional insured to an Auto Excel policy. This was very inconvenient and super disappointing. I have to rewrite the whole policy elsewhere.",Positive
6053,Principal,,Commercial Lines,,9,Promoter,Agree,Grange is a stable market for us.,Positive
3688,Principal,Personal Lines,,,9,Promoter,Agree,,
3401004,Customer Service Representative (CSR),Personal Lines,,,10,Neutral,Strongly Agree,"We do business with 15 different companies, so recommending 1 vs. others would be unethical.",
39094,Producer,Personal Lines,,,9,Neutral,Agree,Rates are a little high but the rating system is very easy to write new business.,Positive
4944,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,Most Grange products are very well priced. The passport auto is very seldom competitive with Progressive.,Positive
22605,Principal,Personal Lines,,,5,Detractor,Neither Agree nor Disagree,,
4115,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,Grange has always been a carrier that will discuss any situation,Positive
22036,Principal,Personal Lines,Commercial Lines,,8,Promoter,Strongly Agree,Mainly because I have an extremely easy time working with Integrity and my clients that have claims brag about how great they are treated.  If the pricing is close I will recommend Integrity every time.,
1301608,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,Easy to use and great products.,
2101279,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,grange underwriting/claims/billing dedptartmetn department,Positive
6104,Principal,Personal Lines,Commercial Lines,,9,Neutral,Agree,Grange's pricing makes it less likely that I will use them. And the personal lines printing options have become convoluted.,Positive
2276,Other,Personal Lines,,,9,Promoter,Agree,Good underwriters and easy on line bill paying and endorsement changes,Positive
2101517,Producer,Personal Lines,,,10,Promoter,Agree,"Website works very well, easy to use and follow",Positive
14072,Principal,,Commercial Lines,,9,Promoter,Strongly Agree,YOU ARE EASY TO DO BUSINESS WITH.,
48224,Producer,Personal Lines,,,8,Neutral,Agree,Rater is pretty simple. Do have problem trying to talk to a under writer at times!,Positive
48790,Other,Personal Lines,,,10,Promoter,Agree,Integrity has been really competitive with the new home and auto programs. Quoting and writing new business is pretty easy and the website is user friendly. The only recommendation I have is to have any underwriting requirements visible during quoting so there are no problems after uploading (like photos of a vehicle to prove no physical damage).,User Design
4944,Principal,Personal Lines,Commercial Lines,,9,Promoter,Agree,THE SITE IS VERY USER FRIENDLY.,Positive
1001066,Producer,Personal Lines,,,10,Promoter,Strongly Agree,The system is very user friendly and the product availability is great.,
2070,Producer,Personal Lines,,,10,Promoter,Strongly Agree,"Competitive rates, excellent claims service, great underwriting",
4765,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,THEY HAVE AN EXCELLENT AUTO PROGRAM.  I WISHED THE INCREASES FOR A VIOLATION OR CLAIM WOULD NOT INCREASE SO DRASTICALLY THOUGH,
4013,Principal,Personal Lines,,,9,Promoter,Strongly Agree,strong claims service,
6215,Customer Service Representative (CSR),,Commercial Lines,,6,Neutral,Agree,Underwriters are very knowledgeable,Positive
3402063,Principal,Personal Lines,,,8,Promoter,Agree,self explanatory,Positive
22306,Producer,,Commercial Lines,,9,Promoter,Strongly Agree,Molly is my underwriter and she is very helpful and supportive in helping to write new business.,
3401208,Customer Service Representative (CSR),Personal Lines,,,6,Detractor,Somewhat Agree,"I am new to the insurance industry, still learning the ropes.",
4933,Principal,Personal Lines,,,10,Promoter,Strongly Agree,,
48240,Producer,Personal Lines,,,4,Detractor,Somewhat Agree,Ratings are not the best. I also do not like the payment options at upload. I also do not like the passport billing. Customers complain to me all the time that the bills come and it is due right away. Cant these bills be sent out earlier?,
22508,Producer,Personal Lines,Commercial Lines,,9,Neutral,Agree,Integrity is great to deal with but the rates still need to be a bit more competetive.,Positive
48798,Principal,Personal Lines,,,10,Promoter,Strongly Agree,"underwriting is willing to write business if possible, will do what needs to be done",
4752,Producer,Personal Lines,,,7,Neutral,Agree,Just like any other company it goes off the premium rate that fits the insured's budget.,Positive
6223,Principal,,Commercial Lines,,5,Detractor,Neither Agree nor Disagree,,
4743,Customer Service Representative (CSR),Personal Lines,,,5,Promoter,Agree,System is slow,Positive
3401075,Producer,Personal Lines,,,9,Promoter,Strongly Agree,"It is usually easy to reach someone at Grange if there are questions.  The ""chat"" feature outranks any of the other companies I work with",
21334,Customer Service Representative (CSR),,Commercial Lines,,7,Detractor,Neither Agree nor Disagree,The rating system is easy however when it comes down to binding/getting a quote it seems to go into the black hole.,
1601569,Other,Personal Lines,,,10,Promoter,Strongly Agree,Rating system and service system is nearly intuitive.  When I call for Grange I get friendly professional service.,
21011,Principal,,Commercial Lines,,5,Promoter,Neither Agree nor Disagree,Through my experience in dealing with Grange.  Their appetite for risks appears limited,
247,Producer,,,Life,8,Neutral,Agree,,
21334,Customer Service Representative (CSR),,Commercial Lines,,5,Detractor,Somewhat Disagree,The system is not the easiest to rate. Underwriting doesn't rate for you and provides little help. I also don't know your markets.,
21334,Principal,Personal Lines,,,8,Detractor,Somewhat Agree,not all coverages are what we like but what they write is good,
22126,Producer,Personal Lines,Commercial Lines,,9,Promoter,Agree,Simplicity and ease of navigation,Positive
4501337,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,"excellent quick friendly service, easy to do business with, great coverages and competitive pricing.",
2101503,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,The website is easy to navigate.  They also have friendly payment plans,
48722,Producer,Personal Lines,,,9,Promoter,Strongly Agree,"The coverage offered is great! Renters, Home, DF, Auto premiums are right where they need to be in my area. Website user friendly, changes are easy to make and when we have questions there is always someone to help!",
6147,Principal,,Commercial Lines,,6,Neutral,Neither Agree nor Disagree,RATHER NOT I WOULD RATHER NOT GET INTO WHY I FEEL THIS WAY,
320,Producer,Personal Lines,Commercial Lines,Life,8,Neutral,Somewhat Agree,,
3901449,Producer,,,Life,10,Promoter,Strongly Agree,"The support staff is great, and the ease of working with the website makes for a frustration free experience.",
3401022,Principal,Personal Lines,,,8,Promoter,Strongly Agree,THEY CARE ABOUT THEIR AGENTS AND ARE TOTALLY COMMITTED TO EASY OF DOING BUSINESS,
1601408,Producer,Personal Lines,,Life,10,Promoter,Agree,"Grange's system is easy to use on the client end and on the agent end. Your rates are pretty steady. There are minor frustrations for insureds and agents (combined billing, not able to change deduction dates).",Positive
1001143,Principal,Personal Lines,,,6,Neutral,Somewhat Agree,rates are too high and hard to put new business with Grange,
909,Principal,Personal Lines,,,8,Neutral,Agree,Too many program changes hard to keep up with,Positive
1250,Producer,Personal Lines,,,9,Neutral,Somewhat Agree,"Removing replacement cost on roofs after 11 years is less coverage than our other companies offer. Prices are higher too, which makes it difficult to sell.",
48400,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,The quoting and application process is very user friendly.  The underwriters are great to work with.  Also I love that I can now attach a document right to the application with the submission.,
48387,Producer,Personal Lines,,,9,Promoter,Strongly Agree,Easy to work with our underwriter.,
1001010,Other,,Commercial Lines,,1,Neutral,Somewhat Agree,Still getting to know underwriters and getting a feel for the latest appetite.,
2101277,Principal,Personal Lines,,,10,Promoter,Agree,Gainweb is very easy to use.,Positive
4515,Producer,Personal Lines,,,10,Promoter,Agree,"Prices are reasonable, claim service is very good",Positive
14004,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,They listen to our concerns.,
4080,Producer,Personal Lines,Commercial Lines,Life,10,Neutral,Strongly Disagree,"Easy to do business with because of underwriters.   Why a 7 on recommend -- very tight underwriting regarding type of claims and how many, effect of a claim on the rate, and claim service which now does not provide for an appraiser in the field.",
3401201,Principal,Personal Lines,,,10,Detractor,Somewhat Agree,Ohio rates are too high.  Passport product has been ignored for the last 2 years.,
2292,Producer,,Commercial Lines,,7,Neutral,Somewhat Agree,grange is a great company. The biggest draw back is the website. It isn't the most user friendly and makes you take unnecessary step to do what you want to do,
48029,Principal,Personal Lines,,,8,Neutral,Agree,"My Underwriter Carol Zimmerman and Jodi Raasch,and their excellent service.",Positive
3401216,Producer,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,"Helpful people, easy to use website, and rates are pretty competitive.",
3402018,Principal,Personal Lines,,,9,Promoter,Agree,Generally easy system to navigate. Rates and product are very competitive.,Positive
22019,Producer,Personal Lines,,,7,Neutral,Somewhat Agree,Appetite could be a little better on personal lines.  Less stricter guidelines for new business.,
48787,Producer,Personal Lines,Commercial Lines,,4,Detractor,Neither Agree nor Disagree,It has become harder to place business with your appetite shrinking and commission declining.,
4063,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Grange is an easy company to work with and our underwriter Travis Frye is amazing. He is so helpful and fun to talk to.,
145,Producer,,Commercial Lines,,6,Detractor,Somewhat Disagree,we would like to see a Grange representative from time to time,
1001030,Principal,Personal Lines,Commercial Lines,Life,9,Neutral,Agree,,
